networkSize,noFaults,fiveN,differenceFiveN,ninety,differenceNinety
50,220,228,1.04,282,1.28
250,1020,1028,1.01,1315,1.29
500,2020,2025,1.00,2606,1.29
1000,4020,4027,1.00,5198,1.29
2000,8020,8028,1.00,10362,1.29
