networkSize,noFaults,fiveN,differenceFiveN,ninety,differenceNinety,noFaultsAfter,fiveNAfter,differenceFiveNAfter,ninetyAfter,differenceNinetyAfter
50,69,101,1.46,105,1.52,42,52,1.24,21,0.50
250,287,484,1.69,544,1.90,236,287,1.22,75,0.32
500,540,774,1.43,1100,2.04,486,557,1.15,138,0.28
1000,1051,1907,1.81,2187,2.08,977,1294,1.32,236,0.24
2000,2062,4028,1.95,4396,2.13,1973,2561,1.30,460,0.23
