networkSize,noFaults,fiveN,differenceFiveN,ninety,differenceNinety,noFaultsAfter,fiveNAfter,differenceFiveNAfter,ninetyAfter,differenceNinetyAfter
50,0.034,0.058,1.71,0.109,3.21,0.01,0.015,1.5,0.012,1.2
250,0.235,0.285,1.21,0.516,2.2,0.104,0.104,1.0,0.035,0.34
500,0.636,0.705,1.11,1.182,1.86,0.336,0.298,0.89,0.076,0.23
1000,1.148,1.594,1.39,2.427,2.11,0.541,0.702,1.3,0.11,0.2
2000,2.663,5.111,1.92,6.879,2.58,1.047,2.222,2.12,0.309,0.3
