networkSize,noFaults,fiveN,differenceFiveN,ninety,differenceNinety,noFaultsAfter,fiveNAfter,differenceFiveNAfter,ninetyAfter,differenceNinetyAfter
50,0.054,0.084,1.56,0.175,3.24,0.022,0.027,1.23,0.011,0.5
250,0.518,0.686,1.32,1.684,3.25,0.225,0.292,1.3,0.065,0.29
500,1.406,1.915,1.36,3.395,2.41,0.75,0.905,1.21,0.187,0.25
1000,3.962,5.886,1.49,7.719,1.95,2.524,3.248,1.29,0.403,0.16
