networkSize,noFaults,fiveN,differenceFiveN,ninety,differenceNinety
50,220,227,1.03,284,1.29
250,1020,1025,1.0,1320,1.29
500,2020,2026,1.0,2603,1.29
1000,4020,4028,1.0,5187,1.29
2000,8020,8028,1.0,10354,1.29
