networkSize,noFaults,fiveN,differenceFiveN,ninety,differenceNinety,noFaultsAfter,fiveNAfter,differenceFiveNAfter,ninetyAfter,differenceNinetyAfter
50,0.161,0.186,1.16,0.254,1.58,0.025,0.033,1.32,0.030,1.20
250,0.466,0.599,1.29,1.052,2.26,0.217,0.235,1.08,0.092,0.42
500,1.064,1.237,1.16,2.334,2.19,0.655,0.624,0.95,0.180,0.27
1000,1.863,2.840,1.52,4.851,2.60,1.166,1.525,1.31,0.271,0.23
2000,3.747,8.005,2.14,12.823,3.42,2.310,4.271,1.85,0.676,0.29
