networkSize,basic,FT,FS,difference,FSoverhead,FToverhead,FSAfter,FTAfter
50,0.865,0.049,0.035,1.4,4.05,5.66,0.005,0.01
250,2.485,0.261,0.152,1.72,6.12,10.5,0.024,0.081
500,4.692,0.52,0.301,1.73,6.42,11.08,0.047,0.177
1000,13.806,1.46,0.676,2.16,4.9,10.58,0.114,0.699
2000,47.572,6.034,1.607,3.75,3.38,12.68,0.291,3.848
