networkSize,FT,FS,difference,FTAfter,FSAfter,differenceAfter
50,0.161,0.148,1.09,0.025,0.017,1.47
250,0.466,0.34,1.37,0.217,0.1,2.17
500,1.064,0.61,1.74,0.655,0.225,2.91
1000,1.863,1.195,1.56,1.166,0.495,2.36
2000,3.747,2.483,1.51,2.31,1.05,2.2
