networkSize,FT,FS,difference,FTAfter,FSAfter,differenceAfter
50,0.523,0.528,0.99,0.034,0.028,1.21
250,0.864,0.798,1.08,0.185,0.1,1.85
500,1.193,1.065,1.12,0.384,0.194,1.98
1000,2.555,1.987,1.29,1.268,0.543,2.34
2000,8.811,5.735,1.54,5.406,1.841,2.94
