networkSize,basic,FT,FS,difference,FSoverhead,FToverhead,FSAfter,FTAfter
50,0.462,0.034,0.022,1.55,4.76,7.36,0.005,0.010
250,3.327,0.235,0.123,1.91,3.70,7.06,0.028,0.104
500,11.18,0.636,0.264,2.41,2.36,5.69,0.059,0.336
1000,26.926,1.148,0.589,1.95,2.19,4.26,0.120,0.541
2000,122.707,2.663,1.428,1.86,1.16,2.17,0.233,1.047
