networkSize,noFaults,fiveN,differenceFiveN,ninety,differenceNinety,noFaultsAfter,fiveNAfter,differenceFiveNAfter,ninetyAfter,differenceNinetyAfter
50,0.049,0.068,1.39,0.111,2.27,0.01,0.009,0.9,0.002,0.2
250,0.261,0.287,1.1,0.596,2.28,0.081,0.073,0.9,0.011,0.14
500,0.52,0.648,1.25,1.475,2.84,0.177,0.186,1.05,0.027,0.15
1000,1.46,1.724,1.18,4.229,2.9,0.699,0.387,0.55,0.089,0.13
2000,4.896,4.254,0.87,9.931,2.03,2.783,1.701,0.61,0.172,0.06
