networkSize,noFaults,fiveN,differenceFiveN,ninety,differenceNinety,noFaultsAfter,fiveNAfter,differenceFiveNAfter,ninetyAfter,differenceNinetyAfter
50,0.098,0.147,1.5,0.324,3.31,0.073,0.07,0.96,0.031,0.42
250,1.715,2.061,1.2,3.993,2.33,0.646,0.68,1.05,0.18,0.28
500,3.281,4.24,1.29,7.041,2.15,1.848,2.0,1.08,0.386,0.21
1000,7.414,7.219,0.97,13.627,1.84,5.222,1.658,0.32,0.799,0.15
2000,15.013,11.001,0.73,29.294,1.95,11.062,6.225,0.56,1.437,0.13
